S.No,Batch,Student_id(Matrix Id),Roll No,Student Name,Gender,Shift,Section,Program,Status,Student Mobile No.,Student Email,Father Name,Father Mobile No,Mother Name,Mother Mobile No,P Address,T Address,DOB ES,DOB BS,Blood Group,Previous GPA,Previous School,Optional Subject,Local Guardain Name,Local Guardain No
56,2020,2222,,Manik Sharma Bhattarai,Female,Day,A,BICT,Running,9808721560.0,56abc@gmail.com,,9865542666.0,,,,,2005-08-11,27-04-2062,,,,,,
57,2020,2223,,Manjari Lohani,Female,Day,A,BICT,Running,9808721561.0,57abc@gmail.com,,9865542667.0,,,,,2005-08-11,27-04-2062,,,,,,
58,2020,2224,,Miksee Rai,Female,Day,A,BICT,Running,9808721562.0,58abc@gmail.com,,9865542668.0,,,,,2005-08-11,27-04-2062,,,,,,
59,2020,2225,,Nigesh Pun,Female,Day,A,BICT,Running,9808721563.0,59abc@gmail.com,,9865542669.0,,,,,2005-08-11,27-04-2062,,,,,,
60,2020,2226,,Nishant Bhandari,Female,Day,A,BICT,Running,9808721564.0,60abc@gmail.com,,9865542670.0,,,,,2005-08-11,27-04-2062,,,,,,
61,2020,2227,,Paarth Man Singh Basnyat,Female,Day,A,BICT,Running,9808721565.0,61abc@gmail.com,,9865542671.0,,,,,2005-08-11,27-04-2062,,,,,,
62,2020,2228,,Piya Gurung,Female,Day,A,BICT,Running,9808721566.0,62abc@gmail.com,,9865542672.0,,,,,2005-08-11,27-04-2062,,,,,,
63,2020,2229,,Poshan Gurung,Female,Day,A,BICT,Running,9808721567.0,63abc@gmail.com,,9865542673.0,,,,,2005-08-11,27-04-2062,,,,,,
64,2020,2230,,Prasansha Subba,Female,Day,A,BICT,Running,9808721568.0,64abc@gmail.com,,9865542674.0,,,,,2005-08-11,27-04-2062,,,,,,
65,2020,2231,,Pritishma Shah,Female,Day,A,BICT,Running,9808721569.0,65abc@gmail.com,,9865542675.0,,,,,2005-08-11,27-04-2062,,,,,,
66,2020,2232,,Samishrika Pariyar,Female,Day,A,BICT,Running,9808721570.0,66abc@gmail.com,,9865542676.0,,,,,2005-08-11,27-04-2062,,,,,,
67,2020,2233,,Sarika Koirala,Female,Day,A,BICT,Running,9808721571.0,67abc@gmail.com,,9865542677.0,,,,,2005-08-11,27-04-2062,,,,,,
68,2020,2234,,Sarthak Thapa,Female,Day,A,BICT,Running,9808721572.0,68abc@gmail.com,,9865542678.0,,,,,2005-08-11,27-04-2062,,,,,,
69,2020,2235,,Shruti Chhetri,Female,Day,A,BICT,Running,9808721573.0,69abc@gmail.com,,9865542679.0,,,,,2005-08-11,27-04-2062,,,,,,
70,2020,2236,,Smriti K.C.,Female,Day,A,BICT,Running,9808721574.0,70abc@gmail.com,,9865542680.0,,,,,2005-08-11,27-04-2062,,,,,,
71,2020,2237,,Sparsh Roka Magar,Female,Day,A,BICT,Running,9808721575.0,71abc@gmail.com,,9865542681.0,,,,,2005-08-11,27-04-2062,,,,,,
72,2020,2238,,Sulav Shrestha,Female,Day,A,BICT,Running,9808721576.0,72abc@gmail.com,,9865542682.0,,,,,2005-08-11,27-04-2062,,,,,,
73,2020,2239,,Vijita Raut,Female,Day,A,BICT,Running,9808721577.0,73abc@gmail.com,,9865542683.0,,,,,2005-08-11,27-04-2062,,,,,,
74,2020,2240,,Yaju Maharjhan,Female,Day,A,BICT,Running,9808721578.0,74abc@gmail.com,,9865542684.0,,,,,2005-08-11,27-04-2062,,,,,,
75,2020,2241,,Aakash Pal,Female,Day,A,BICT,Running,9808721579.0,75abc@gmail.com,,9865542685.0,,,,,2005-08-11,27-04-2062,,,,,,
76,2020,2242,,Aayusha Karki,Female,Day,A,BICT,Running,9808721580.0,76abc@gmail.com,,9865542686.0,,,,,2005-08-11,27-04-2062,,,,,,
77,2020,2243,,Amogh Guragai,Female,Day,A,BICT,Running,9808721581.0,77abc@gmail.com,,9865542687.0,,,,,2005-08-11,27-04-2062,,,,,,
78,2020,2244,,Ashish Sherpa,Female,Day,A,BICT,Running,9808721582.0,78abc@gmail.com,,9865542688.0,,,,,2005-08-11,27-04-2062,,,,,,
79,2020,2245,,Avyash Kurumbang Limbhu,Female,Day,A,BICT,Running,9808721583.0,79abc@gmail.com,,9865542689.0,,,,,2005-08-11,27-04-2062,,,,,,
80,2020,2246,,Barish Rai,Female,Day,A,BICT,Running,9808721584.0,80abc@gmail.com,,9865542690.0,,,,,2005-08-11,27-04-2062,,,,,,
81,2020,2247,,Denisha Basnet,Female,Day,A,BICT,Running,9808721585.0,81abc@gmail.com,,9865542691.0,,,,,2005-08-11,27-04-2062,,,,,,
82,2020,2248,,Gobind Mukhiya,Female,Day,A,BICT,Running,9808721586.0,82abc@gmail.com,,9865542692.0,,,,,2005-08-11,27-04-2062,,,,,,
83,2020,2249,,Jackson Shahi,Female,Day,A,BICT,Running,9808721587.0,83abc@gmail.com,,9865542693.0,,,,,2005-08-11,27-04-2062,,,,,,
84,2020,2250,,Jaya Gupta,Female,Day,A,BICT,Running,9808721588.0,84abc@gmail.com,,9865542694.0,,,,,2005-08-11,27-04-2062,,,,,,
85,2020,2251,,Jwalandeep Adhikari,Female,Day,A,BICT,Running,9808721589.0,85abc@gmail.com,,9865542695.0,,,,,2005-08-11,27-04-2062,,,,,,
86,2020,2252,,Kaustuv Shrestha,Female,Day,A,BICT,Running,9808721590.0,86abc@gmail.com,,9865542696.0,,,,,2005-08-11,27-04-2062,,,,,,
87,2020,2253,,Kishor Singh Bhandari,Female,Day,A,BICT,Running,9808721591.0,87abc@gmail.com,,9865542697.0,,,,,2005-08-11,27-04-2062,,,,,,
88,2020,2254,,Krishna Nepal,Female,Day,A,BICT,Running,9808721592.0,88abc@gmail.com,,9865542698.0,,,,,2005-08-11,27-04-2062,,,,,,
89,2020,2255,,Kriti Chhetri,Female,Day,A,BICT,Running,9808721593.0,89abc@gmail.com,,9865542699.0,,,,,2005-08-11,27-04-2062,,,,,,
90,2020,2256,,Kritika Khandelwal,Female,Day,A,BICT,Running,9808721594.0,90abc@gmail.com,,9865542700.0,,,,,2005-08-11,27-04-2062,,,,,,
91,2020,2257,,Kritika Singh,Female,Day,A,BICT,Running,9808721595.0,91abc@gmail.com,,9865542701.0,,,,,2005-08-11,27-04-2062,,,,,,
92,2020,2258,,Manash Raj Sharma,Female,Day,A,BICT,Running,9808721596.0,92abc@gmail.com,,9865542702.0,,,,,2005-08-11,27-04-2062,,,,,,
93,2020,2259,,Manik Sharma Bhattarai,Female,Day,A,BICT,Running,9808721597.0,93abc@gmail.com,,9865542703.0,,,,,2005-08-11,27-04-2062,,,,,,
94,2020,2260,,Manjari Lohani,Female,Day,A,BICT,Running,9808721598.0,94abc@gmail.com,,9865542704.0,,,,,2005-08-11,27-04-2062,,,,,,
95,2020,2261,,Miksee Rai,Female,Day,A,BICT,Running,9808721599.0,95abc@gmail.com,,9865542705.0,,,,,2005-08-11,27-04-2062,,,,,,
96,2020,2262,,Nigesh Pun,Female,Day,A,BICT,Running,9808721600.0,96abc@gmail.com,,9865542706.0,,,,,2005-08-11,27-04-2062,,,,,,
97,2020,2263,,Nishant Bhandari,Female,Day,A,BICT,Running,9808721601.0,97abc@gmail.com,,9865542707.0,,,,,2005-08-11,27-04-2062,,,,,,
98,2020,2264,,Paarth Man Singh Basnyat,Female,Day,A,BICT,Running,9808721602.0,98abc@gmail.com,,9865542708.0,,,,,2005-08-11,27-04-2062,,,,,,
99,2020,2265,,Piya Gurung,Female,Day,A,BICT,Running,9808721603.0,99abc@gmail.com,,9865542709.0,,,,,2005-08-11,27-04-2062,,,,,,
100,2020,2266,,Poshan Gurung,Female,Day,A,BICT,Running,9808721604.0,100abc@gmail.com,,9865542710.0,,,,,2005-08-11,27-04-2062,,,,,,
101,2020,2267,,Prasansha Subba,Female,Day,A,BICT,Running,9808721605.0,101abc@gmail.com,,9865542711.0,,,,,2005-08-11,27-04-2062,,,,,,
102,2020,2268,,Pritishma Shah,Female,Day,A,BICT,Running,9808721606.0,102abc@gmail.com,,9865542712.0,,,,,2005-08-11,27-04-2062,,,,,,
103,2020,2269,,Samishrika Pariyar,Female,Day,A,BICT,Running,9808721607.0,103abc@gmail.com,,9865542713.0,,,,,2005-08-11,27-04-2062,,,,,,
104,2020,2270,,Sarika Koirala,Female,Day,A,BICT,Running,9808721608.0,104abc@gmail.com,,9865542714.0,,,,,2005-08-11,27-04-2062,,,,,,
105,2020,2271,,Sarthak Thapa,Female,Day,A,BICT,Running,9808721609.0,105abc@gmail.com,,9865542715.0,,,,,2005-08-11,27-04-2062,,,,,,
106,2020,2272,,Shruti Chhetri,Female,Day,A,BICT,Running,9808721610.0,106abc@gmail.com,,9865542716.0,,,,,2005-08-11,27-04-2062,,,,,,
107,2020,2273,,Smriti K.C.,Female,Day,A,BICT,Running,9808721611.0,107abc@gmail.com,,9865542717.0,,,,,2005-08-11,27-04-2062,,,,,,
108,2020,2274,,Sparsh Roka Magar,Female,Day,A,BICT,Running,9808721612.0,108abc@gmail.com,,9865542718.0,,,,,2005-08-11,27-04-2062,,,,,,
109,2020,2275,,Sulav Shrestha,Female,Day,A,BICT,Running,9808721613.0,109abc@gmail.com,,9865542719.0,,,,,2005-08-11,27-04-2062,,,,,,
110,2020,2276,,Vijita Raut,Female,Day,A,BICT,Running,9808721614.0,110abc@gmail.com,,9865542720.0,,,,,2005-08-11,27-04-2062,,,,,,
111,2020,2277,,Yaju Maharjhan,Female,Day,A,BICT,Running,9808721615.0,111abc@gmail.com,,9865542721.0,,,,,2005-08-11,27-04-2062,,,,,,
112,2020,2278,,Aakash Pal,Female,Day,A,BICT,Running,9808721616.0,112abc@gmail.com,,9865542722.0,,,,,2005-08-11,27-04-2062,,,,,,
113,2020,2279,,Aayusha Karki,Female,Day,A,BICT,Running,9808721617.0,113abc@gmail.com,,9865542723.0,,,,,2005-08-11,27-04-2062,,,,,,
114,2020,2280,,Amogh Guragai,Female,Day,A,BICT,Running,9808721618.0,114abc@gmail.com,,9865542724.0,,,,,2005-08-11,27-04-2062,,,,,,
115,2020,2281,,Ashish Sherpa,Female,Day,A,BICT,Running,9808721619.0,115abc@gmail.com,,9865542725.0,,,,,2005-08-11,27-04-2062,,,,,,
116,2020,2282,,Avyash Kurumbang Limbhu,Female,Day,A,BICT,Running,9808721620.0,116abc@gmail.com,,9865542726.0,,,,,2005-08-11,27-04-2062,,,,,,
117,2020,2283,,Barish Rai,Female,Day,A,BICT,Running,9808721621.0,117abc@gmail.com,,9865542727.0,,,,,2005-08-11,27-04-2062,,,,,,
118,2020,2284,,Denisha Basnet,Female,Day,A,BICT,Running,9808721622.0,118abc@gmail.com,,9865542728.0,,,,,2005-08-11,27-04-2062,,,,,,
119,2020,2285,,Gobind Mukhiya,Female,Day,A,BICT,Running,9808721623.0,119abc@gmail.com,,9865542729.0,,,,,2005-08-11,27-04-2062,,,,,,
120,2020,2286,,Jackson Shahi,Female,Day,A,BICT,Running,9808721624.0,120abc@gmail.com,,9865542730.0,,,,,2005-08-11,27-04-2062,,,,,,
121,2020,2287,,Jaya Gupta,Female,Day,A,BICT,Running,9808721625.0,121abc@gmail.com,,9865542731.0,,,,,2005-08-11,27-04-2062,,,,,,
122,2020,2288,,Jwalandeep Adhikari,Female,Day,A,BICT,Running,9808721626.0,122abc@gmail.com,,9865542732.0,,,,,2005-08-11,27-04-2062,,,,,,
123,2020,2289,,Kaustuv Shrestha,Female,Day,A,BICT,Running,9808721627.0,123abc@gmail.com,,9865542733.0,,,,,2005-08-11,27-04-2062,,,,,,
124,2020,2290,,Kishor Singh Bhandari,Female,Day,A,BICT,Running,9808721628.0,124abc@gmail.com,,9865542734.0,,,,,2005-08-11,27-04-2062,,,,,,
125,2020,34442203,,Krishna Nepal,Female,Day,A,BICT,Running,9808721629.0,125abc@gmail.com,,9865542735.0,,,,,2005-08-11,27-04-2062,,,,,,
126,2020,121212203,,Kriti Chhetri,Female,Day,A,BICT,Running,9808721630.0,126abc@gmail.com,,9865542736.0,,,,,2005-08-11,27-04-2062,,,,,,
127,2020,2293,,Kritika Khandelwal,Female,Day,A,BICT,Running,9808721631.0,127abc@gmail.com,,9865542737.0,,,,,2005-08-11,27-04-2062,,,,,,
128,2020,2294,,Kritika Singh,Female,Day,A,BICT,Running,9808721632.0,128abc@gmail.com,,9865542738.0,,,,,2005-08-11,27-04-2062,,,,,,
129,2020,2295,,Manash Raj Sharma,Female,Day,A,BICT,Running,9808721633.0,129abc@gmail.com,,9865542739.0,,,,,2005-08-11,27-04-2062,,,,,,
130,2020,2296,,Manik Sharma Bhattarai,Female,Day,A,BICT,Running,9808721634.0,130abc@gmail.com,,9865542740.0,,,,,2005-08-11,27-04-2062,,,,,,
131,2020,2297,,Manjari Lohani,Female,Day,A,BICT,Running,9808721635.0,131abc@gmail.com,,9865542741.0,,,,,2005-08-11,27-04-2062,,,,,,
132,2020,2298,,Miksee Rai,Female,Day,A,BICT,Running,9808721636.0,132abc@gmail.com,,9865542742.0,,,,,2005-08-11,27-04-2062,,,,,,
133,2020,2299,,Nigesh Pun,Female,Day,A,BICT,Running,9808721637.0,133abc@gmail.com,,9865542743.0,,,,,2005-08-11,27-04-2062,,,,,,
134,2020,2300,,Nishant Bhandari,Female,Day,A,BICT,Running,9808721638.0,134abc@gmail.com,,9865542744.0,,,,,2005-08-11,27-04-2062,,,,,,
135,2020,2301,,Paarth Man Singh Basnyat,Female,Day,A,BICT,Running,9808721639.0,135abc@gmail.com,,9865542745.0,,,,,2005-08-11,27-04-2062,,,,,,
136,2020,2302,,Piya Gurung,Female,Day,A,BICT,Running,9808721640.0,136abc@gmail.com,,9865542746.0,,,,,2005-08-11,27-04-2062,,,,,,
137,2020,2303,,Poshan Gurung,Female,Day,A,BICT,Running,9808721641.0,137abc@gmail.com,,9865542747.0,,,,,2005-08-11,27-04-2062,,,,,,
138,2020,2304,,Prasansha Subba,Female,Day,A,BICT,Running,9808721642.0,138abc@gmail.com,,9865542748.0,,,,,2005-08-11,27-04-2062,,,,,,
139,2020,2305,,Pritishma Shah,Female,Day,A,BICT,Running,9808721643.0,139abc@gmail.com,,9865542749.0,,,,,2005-08-11,27-04-2062,,,,,,
140,2020,2306,,Samishrika Pariyar,Female,Day,A,BICT,Running,9808721644.0,140abc@gmail.com,,9865542750.0,,,,,2005-08-11,27-04-2062,,,,,,
141,2020,2307,,Sarika Koirala,Female,Day,A,BICT,Running,9808721645.0,141abc@gmail.com,,9865542751.0,,,,,2005-08-11,27-04-2062,,,,,,
142,2020,2308,,Sarthak Thapa,Female,Day,A,BICT,Running,9808721646.0,142abc@gmail.com,,9865542752.0,,,,,2005-08-11,27-04-2062,,,,,,
143,2020,2309,,Shruti Chhetri,Female,Day,A,BICT,Running,9808721647.0,143abc@gmail.com,,9865542753.0,,,,,2005-08-11,27-04-2062,,,,,,
144,2020,2310,,Smriti K.C.,Female,Day,A,BICT,Running,9808721648.0,144abc@gmail.com,,9865542754.0,,,,,2005-08-11,27-04-2062,,,,,,
145,2020,2311,,Sparsh Roka Magar,Female,Day,A,BICT,Running,9808721649.0,145abc@gmail.com,,9865542755.0,,,,,2005-08-11,27-04-2062,,,,,,
146,2020,2312,,Sulav Shrestha,Female,Day,A,BICT,Running,9808721650.0,146abc@gmail.com,,9865542756.0,,,,,2005-08-11,27-04-2062,,,,,,
147,2020,2313,,Vijita Raut,Female,Day,A,BICT,Running,9808721651.0,147abc@gmail.com,,9865542757.0,,,,,2005-08-11,27-04-2062,,,,,,
148,2020,2314,,Yaju Maharjhan,Female,Day,A,BICT,Running,9808721652.0,148abc@gmail.com,,9865542758.0,,,,,2005-08-11,27-04-2062,,,,,,
149,2020,2315,,Aakash Pal,Female,Day,A,BICT,Running,9808721653.0,149abc@gmail.com,,9865542759.0,,,,,2005-08-11,27-04-2062,,,,,,
150,2020,2316,,Aayusha Karki,Female,Day,A,BICT,Running,9808721654.0,150abc@gmail.com,,9865542760.0,,,,,2005-08-11,27-04-2062,,,,,,
151,2020,2317,,Amogh Guragai,Female,Day,A,BICT,Running,9808721655.0,151abc@gmail.com,,9865542761.0,,,,,2005-08-11,27-04-2062,,,,,,
152,2020,2318,,Ashish Sherpa,Female,Day,A,BICT,Running,9808721656.0,152abc@gmail.com,,9865542762.0,,,,,2005-08-11,27-04-2062,,,,,,
153,2020,2319,,Avyash Kurumbang Limbhu,Female,Day,A,BICT,Running,9808721657.0,153abc@gmail.com,,9865542763.0,,,,,2005-08-11,27-04-2062,,,,,,
154,2020,2320,,Barish Rai,Female,Day,A,BICT,Running,9808721658.0,154abc@gmail.com,,9865542764.0,,,,,2005-08-11,27-04-2062,,,,,,
155,2020,2321,,Denisha Basnet,Female,Day,A,BICT,Running,9808721659.0,155abc@gmail.com,,9865542765.0,,,,,2005-08-11,27-04-2062,,,,,,
156,2020,2322,,Gobind Mukhiya,Female,Day,A,BICT,Running,9808721660.0,156abc@gmail.com,,9865542766.0,,,,,2005-08-11,27-04-2062,,,,,,
157,2020,2323,,Jackson Shahi,Female,Day,A,BICT,Running,9808721661.0,157abc@gmail.com,,9865542767.0,,,,,2005-08-11,27-04-2062,,,,,,
158,2020,2324,,Jaya Gupta,Female,Day,A,BICT,Running,9808721662.0,158abc@gmail.com,,9865542768.0,,,,,2005-08-11,27-04-2062,,,,,,
159,2020,2325,,Jwalandeep Adhikari,Female,Day,A,BICT,Running,9808721663.0,159abc@gmail.com,,9865542769.0,,,,,2005-08-11,27-04-2062,,,,,,
160,2020,2326,,Kaustuv Shrestha,Female,Day,A,BICT,Running,9808721664.0,160abc@gmail.com,,9865542770.0,,,,,2005-08-11,27-04-2062,,,,,,
161,2020,2327,,Kishor Singh Bhandari,Female,Day,A,BICT,Running,9808721665.0,161abc@gmail.com,,9865542771.0,,,,,2005-08-11,27-04-2062,,,,,,
162,2020,2328,,Krishna Nepal,Female,Day,A,BICT,Running,9808721666.0,162abc@gmail.com,,9865542772.0,,,,,2005-08-11,27-04-2062,,,,,,
163,2020,2329,,Kriti Chhetri,Female,Day,A,BICT,Running,9808721667.0,163abc@gmail.com,,9865542773.0,,,,,2005-08-11,27-04-2062,,,,,,
164,2020,2330,,Kritika Khandelwal,Female,Day,A,BICT,Running,9808721668.0,164abc@gmail.com,,9865542774.0,,,,,2005-08-11,27-04-2062,,,,,,
